295.118058,260.905420,297.809452,290.929416,283.726638,233.664066,274.014426,291.959484,287.111945,285.858169,250.166930,288.272990
298.210467,265.745934,275.878028,292.092290,283.370525,286.604983,234.062698,291.814506,289.641780,290.059899,250.166991,288.588164
294.747694,235.803166,297.563491,290.929416,261.375184,233.664066,274.051537,291.954561,287.235116,285.858169,250.166930,288.286128
6.259261,228.159793,41.610052,3.445735,29.375932,25.830741,6.228973,2.037119,285.388327,0.102757,216.252487,285.499855
8.354268,44.359018,40.739356,3.445735,22.595964,25.830741,1.895881,1.584003,12.046616,10.470397,39.181672,19.205818
69.957684,127.308851,203.419819,242.210553,261.072664,299.332156,279.575404,293.065409,292.273927,200.647877,208.773973,284.672979
115.387690,144.122435,204.847562,243.064155,284.555668,299.338593,191.849834,193.268129,287.192553,197.558205,204.958982,286.531889
16.463916,47.488668,41.730152,3.317226,30.103421,263.759487,3.457698,48.428339,13.442216,15.543404,40.145094,26.045035
115.403757,144.243111,296.356393,250.448967,288.763375,299.642744,75.506036,191.858841,271.726344,199.184634,186.395293,241.971425
203.065523,146.669080,213.573032,154.162533,145.942242,293.057764,178.316133,193.338901,164.350999,134.753769,146.491359,251.046583
198.525930,234.287857,205.500151,245.916077,235.351650,297.495484,280.862108,294.603331,292.469604,129.854629,208.466958,285.368089
61.205876,42.705115,41.741816,47.334689,30.094646,30.459001,18.609106,44.392742,134.871575,12.624196,39.887844,147.400311
60.035666,48.008295,202.921418,47.347910,75.717311,66.652300,26.889851,47.775439,140.197024,28.045529,39.116964,20.911793
125.219560,143.867802,39.741904,48.104965,67.563465,153.707310,186.915812,77.748650,241.938455,28.012449,43.799430,243.875216
124.138937,137.341183,208.156587,154.487309,145.942242,247.761778,178.316133,197.148284,284.999954,42.327954,52.344563,269.685807
61.485744,47.479384,256.175232,117.655417,66.890235,277.436740,19.179223,48.412840,136.386591,55.986117,39.521105,244.232739
209.414491,148.349745,283.235243,138.667606,140.960481,298.500857,181.386715,190.647026,273.611182,200.570453,188.502914,246.084652
115.385145,144.122990,283.235243,142.304141,140.960481,299.608813,177.924809,191.891495,271.915941,176.917935,186.716179,242.172836
59.997901,158.499110,200.456624,44.855833,146.644982,293.057764,27.042851,193.338901,164.117112,44.405781,49.884766,126.177647
24.270363,155.340890,39.602629,2.282351,22.595964,25.830741,1.895881,14.121029,17.608108,30.648814,39.181672,17.012552
63.592768,126.366234,201.615635,242.145196,286.333506,283.451130,187.135743,191.447805,290.002687,200.909239,253.751484,263.504280
115.387690,233.213859,297.588275,154.375279,143.865725,299.642744,187.128419,287.287723,271.721284,266.277580,209.310150,248.422531
59.619645,48.685264,258.044982,117.655417,28.906790,277.386415,19.180200,33.026339,142.605009,129.917998,145.766684,244.232739
9.108292,47.471065,39.134156,5.461739,24.811957,270.994978,22.730428,48.428339,6.442424,27.658847,39.987182,81.269457
278.335136,235.351532,157.018146,234.563249,255.260280,299.140873,246.379646,192.220037,283.113349,173.400918,209.140837,287.948909
267.676439,235.760188,273.457530,233.879657,264.699969,299.332156,281.529350,293.065409,292.296207,200.648976,208.788656,285.284615
120.078261,146.467419,213.499470,44.249980,138.198697,298.274936,70.924252,179.371441,272.295337,127.763088,186.751508,292.158410
267.120518,235.760190,269.231381,243.070906,255.260280,233.664066,274.014426,291.959484,287.111945,285.542596,250.166930,287.948909
284.256954,260.932316,298.144041,245.618799,283.998407,298.992377,191.989107,293.729776,287.062932,153.878109,251.835785,286.486089
6.259261,145.529838,43.551651,3.445735,32.329075,25.830741,1.895881,2.037119,12.046616,10.470397,216.252487,236.550702
16.463916,49.943976,41.730152,3.317226,30.103421,263.759487,3.457698,31.277129,142.309635,44.465706,40.145094,26.045035
9.108292,47.471065,41.763522,3.317226,24.811957,25.830741,22.730428,48.428339,6.442424,27.658847,39.987182,81.269457
62.820355,127.965207,154.414413,2.642782,146.972212,293.057764,178.316133,193.361102,164.832707,45.469601,104.014786,126.177647
294.426917,263.555245,298.164639,280.090596,283.370525,279.210969,273.877337,294.650838,286.447683,272.162230,209.338651,246.081235
9.103300,45.994477,40.402110,81.600673,24.752776,104.924731,70.868254,32.399500,6.131537,28.068954,46.497439,81.217384
9.108292,44.282000,207.588805,3.317226,24.811610,296.101719,23.029593,48.428339,5.931480,13.897774,40.003996,74.407855
9.870217,148.349745,283.235243,138.667606,140.960481,298.500857,184.136387,190.647026,273.611182,200.570453,209.222060,241.144409
62.820355,144.355940,156.225653,155.600061,145.188717,293.057764,150.477236,193.358534,164.350999,176.359083,98.810325,134.315129
61.971070,34.107027,154.954465,48.627433,65.128466,69.168677,19.443313,87.786189,16.016761,134.076449,37.007464,127.428421
267.120518,240.071417,271.662908,243.576591,255.260280,292.714637,269.464554,283.851292,292.954137,175.193534,97.257216,285.726068
267.120518,235.760190,205.091530,244.833546,255.260280,230.253655,290.935528,294.524489,292.456456,201.840617,212.441273,284.700950
66.272276,146.159438,211.398545,44.430811,138.476830,297.355904,70.120793,72.334811,288.591823,128.160735,186.751508,297.167921
295.735949,260.905420,297.809452,290.929416,283.726638,299.087238,188.095197,291.959484,287.111945,285.858169,250.166930,288.314209
8.322880,31.239040,230.818042,2.485464,20.436013,23.445313,0.926058,1.584003,12.442126,10.470397,39.188244,19.205818
120.505474,144.122990,283.235243,137.306394,140.960481,298.500857,186.675972,190.913788,271.915941,177.207075,209.222060,242.166366
59.881646,107.474900,257.874650,93.339960,26.906293,277.386415,66.878716,33.026339,141.182692,130.356142,146.472611,244.232739
60.035666,42.706567,200.631934,45.324304,27.754199,69.200207,26.617574,45.090019,141.182692,133.347392,149.821088,148.273042
