engine,use_prototype_crossover,use_coupled_mutation,use_dynamic_elite_retention,surrogate_enabled,population_size,num_generations,runs,hv_mean,hv_std,igd_mean,igd_std,elapsed_mean,elapsed_std
deap_nsga2,True,True,True,False,40,12,2,80772469.599229,1254165.782840,296.438873,59.037622,1.254908,0.173048
deap_nsga2,True,True,False,False,40,12,2,84585415.359068,1275875.558383,168.076928,9.313293,0.583049,0.013394
deap_nsga2,False,True,True,False,40,12,2,77782725.271573,256581.555716,223.144070,6.337304,1.170447,0.013903
deap_nsga2,False,True,False,False,40,12,2,86006302.489776,848453.473819,168.456801,9.978852,0.471957,0.003895
