-61.633578,1833.897347,7.045295
-41.450646,1245.226644,4.740464
-59.908286,2577.100691,8.484778
-67.408640,2574.744924,5.336330
-55.202300,2276.452586,6.196477
-60.813929,2789.989046,20.126412
-83.663645,3426.408226,11.198728
-80.861342,3760.264597,17.517974
-79.927028,3384.680692,10.472079
-78.812341,3335.657517,10.547080
-91.170515,4339.253242,9.315460
-90.235960,4170.557359,12.966995
-84.214430,3859.718091,20.637042
-87.500860,4370.733112,13.600202
-94.135821,4256.838992,14.274698
-102.798518,5900.795329,19.018187
-107.554335,6364.261349,24.601621
-114.664781,6895.098400,30.018498
-94.094312,5696.056909,21.818443
-113.391147,6465.415207,28.175756
-102.875162,5075.401248,17.230632
-117.610577,7312.419926,21.808676
-102.225626,5024.706475,16.228492
-118.932643,7025.706405,30.084041
-127.893859,8215.081932,42.049477
-121.687008,7685.776074,23.690101
-116.584318,7784.110815,31.082662
-117.144344,7303.058472,30.963846
-132.049947,8542.958053,30.672508
-125.908674,8390.771470,30.562860
-111.688146,6114.395481,19.802169
-148.478745,10447.191194,44.225012
-136.174740,8729.087610,30.340864
-143.060778,9748.205165,36.184063
-139.041054,9478.919660,38.348536
-156.758848,11533.411311,43.800060
-147.404283,10895.140150,47.438744
-148.369820,10481.028257,35.474830
-154.553097,11429.516046,45.762435
-161.966025,12734.556375,39.114174
-166.956887,13042.769183,54.069965
-155.394485,11987.733532,39.298245
-164.222778,12774.260082,50.358077
-161.772029,13122.034745,42.411972
-170.335819,13548.511234,44.007439
-166.968504,13500.141246,54.887126
-157.268244,11991.687950,47.547802
-169.873794,13992.781942,47.181553
-157.998231,12202.743463,40.927628
-153.165688,13429.539952,35.440696
-190.768579,16786.953114,61.138434
-170.344744,13877.831842,53.321561
-181.557522,15694.604369,50.275087
-185.866119,16295.345051,67.544110
-182.699320,15477.134573,56.328546
-180.685748,15802.740013,59.503915
-180.868583,16111.376042,66.676218
-187.721132,16446.122175,63.739072
-185.858102,16268.092224,67.001121
-190.851196,17014.498807,68.274371
