-96.793570,10553.859430,2.778046
-96.793570,10553.859430,2.778046
-100.301226,9863.095876,9.738765
-94.403643,9230.489273,1.429201
-100.047629,9719.551788,9.069002
-99.382626,9197.126723,3.024386
-105.997783,8479.330602,21.422522
-105.814266,8414.788857,21.364865
-99.953516,8149.576703,9.121596
-70.622730,666.932298,1.836783
-70.622730,666.932298,1.836783
-70.622730,666.932298,1.836783
-105.486682,8300.728059,20.904642
-105.751049,8280.678785,21.934044
-105.738858,8275.331032,21.436697
-86.944131,747.845363,4.036560
-94.294078,6631.793817,2.791657
-102.085185,3676.985844,16.161712
-96.065135,7318.871053,2.872239
-102.085185,3607.155789,16.193778
-94.183698,7188.633268,1.368610
-93.144645,4150.197514,1.321989
-83.405143,853.213150,3.980887
-83.405143,854.071202,3.979022
-72.496801,905.115333,3.947122
-84.330878,1315.761084,1.574586
-98.747130,6174.318401,9.062927
-72.250193,1403.257873,1.563813
-91.704461,4064.384925,1.216194
-98.631316,7685.770847,3.280540
-95.469247,6955.045829,2.807534
-95.469247,6943.737507,2.821336
-104.781359,6493.231266,16.473289
-104.781359,6493.231266,16.473289
-104.781359,6493.231266,16.473289
-104.521512,6529.492956,16.182008
-99.019922,7617.999532,3.280616
-79.619063,2499.430522,1.254296
-99.019922,7560.303119,3.302354
-99.416242,5737.281290,9.927780
-73.449172,4628.358585,1.200863
-105.645477,7065.731029,21.422523
-76.510696,4776.723447,1.202108
-105.434676,5571.283018,22.111463
-105.134376,6878.466730,20.904643
-99.601211,6730.781242,9.254431
-99.601211,6730.781242,9.254431
-99.188640,6747.907135,9.126945
-98.624273,6199.225725,3.084449
-98.624273,6199.225725,3.084449
-76.243695,2911.629905,1.216194
-92.432897,7355.107554,1.234154
-92.462813,7322.129541,1.260836
-98.709545,6786.899821,8.940620
-98.709545,6786.899821,8.940620
-98.533414,4935.961190,3.477924
-98.470857,2514.118384,16.362734
-91.613602,2881.526676,1.347559
-94.092839,5985.389223,1.374353
-98.028385,5816.948917,3.098066
-95.009945,4922.322145,3.361992
-92.897669,2260.075712,9.599447
-92.048786,5714.744721,1.215095
-98.028385,5802.022677,3.138016
-92.553815,4833.358052,1.319911
-91.963437,3359.520119,2.734698
-92.188585,4637.100827,1.282831
-99.451374,5314.494687,10.272576
-99.451374,5309.078398,10.461997
-99.451374,5309.078398,10.461997
-76.243695,3083.227019,1.215910
-76.243695,3083.227019,1.215910
-76.243695,3101.621513,1.202108
-76.243695,3101.621513,1.202108
-94.122077,5819.170293,2.613583
-93.471445,5615.035596,2.836412
-94.147583,5776.946110,2.650914
-105.152256,5236.765659,21.361069
-98.594680,4948.401674,9.598581
-97.585221,3104.489455,4.231674
